DataSeries,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Total Generated,6658000,6859000,7385000,6944000,5880000,7278000,7759000,7704000,7814000,7673000,7515000,7851000,7270000,6898000,6517000,6114000,5970000,5601000,5221000,5018000,4790000,4728000,4809000,5035000,4643000
    Construction & Demolition,708000,832000,1424000,1013000,825000,1440000,1624000,1609000,1595000,1412000,1270000,1695000,1292000,1204000,922000,1176000,922000,778000,619000,493000,509000,423000,407000,351000,319000
    Ferrous Metal,1275000,1296000,1338000,1312000,934000,1278000,1269000,1379000,1358000,1347000,1446000,1416000,1386000,1239000,1195000,872000,785000,737000,726000,818000,720000,857000,840000,1115000,989000
    Non-Ferrous Metal,103000,106000,92000,88000,75000,126000,171000,94000,97000,179000,118000,135000,122000,117000,86000,58000,85000,92000,87000,89000,87000,94000,101000,119000,90000
    Used Slag,112000,176000,169000,182000,106000,174000,246000,273000,251000,370000,366000,354000,368000,342000,383000,422000,566000,527000,471000,382000,267000,260000,298000,227000,219000
    Scrap Tyres,34000,27000,26000,27000,23000,33000,32000,36000,33000,36000,26000,22000,18000,22000,24000,23000,25000,26000,24000,17000,15000,14000,15000,12000,12000
    Horticultural,265000,256000,221000,332000,313000,400000,521000,328000,321000,362000,278000,253000,248000,274000,270000,238000,229000,225000,231000,200000,227000,305000,417000,281000,131000
    Wood,410000,447000,419000,310000,304000,438000,320000,424000,531000,371000,368000,332000,344000,239000,251000,288000,270000,246000,224000,239000,220000,213000,255000,268000,273000
    Paper/Cardboard,1272000,1251000,1064000,1136000,1144000,1011000,1054000,1145000,1183000,1196000,1237000,1261000,1252000,1368000,1384000,1201000,1263000,1203000,1116000,1099000,1132000,1085000,1102000,1236000,1001000
    Glass,79000,75000,73000,74000,66000,75000,64000,71000,72000,77000,79000,74000,75000,73000,80000,73000,57000,65000,63000,63000,74000,66000,54000,34000,36000
    Food,784000,755000,813000,817000,665000,744000,763000,810000,791000,803000,789000,796000,703000,676000,641000,606000,568000,559000,543000,532000,531000,548000,526000,536000,1093000
    Ash And Sludge,229000,231000,241000,249000,228000,252000,240000,243000,227000,196000,149000,191000,160000,153000,114000,89000,115000,125000,127000,98000,94000,89000,84000,79000,50000
